National personal identifier endonym kebab case	National personal identifier exonym kebab case	Country name endonym	Country name exonym English	Country ISO 3166-1 code	Personal identifier name endonym	Personal identifier exonym English	Wikipedia link	Description	Where to find it
jordan-raqam-watani	jordan-national-number	الأردن	Jordan	JO	الرقم الوطني (Raqam Waṭanī)	National Number	[National identification number — Jordan](https://en.wikipedia.org/wiki/National_identification_number#Jordan)	Ten-digit unique identifier issued by the Civil Status and Passport Department to every Jordanian citizen and to many residents; the first digit encodes citizenship class (typically 9 for Jordanian citizens) and the remaining digits include a date-derived component and a serial.	Jordanian Smart ID card and family booklet (دفتر العائلة) issued by the Civil Status and Passport Department; the Sanad e-government app.
kazakhstan-zheke-sajkestendiru-nomiri	kazakhstan-individual-identification-number	Қазақстан	Kazakhstan	KZ	Жеке сәйкестендіру нөмірі (ЖСН) / Индивидуальный идентификационный номер (ИИН)	Individual Identification Number (IIN)	[National identification number — Kazakhstan](https://en.wikipedia.org/wiki/National_identification_number#Kazakhstan)	Twelve digits in the form YYMMDDSGNNNNC: YYMMDD is the date of birth; S encodes century and sex (1 male / 2 female 1800s; 3 male / 4 female 1900s; 5 male / 6 female 2000s); G is a serial / generation indicator; NNNN is a serial; and C is a weighted Modulus-11 check digit.	Kazakh ID card (Жеке куәлік), passport, and the eGov.kz portal.
kenya-kitambulisho	kenya-national-identity-card	Kenya	Kenya	KE	Kitambulisho cha Taifa	National Identity Card Number	[Kenyan identity card](https://en.wikipedia.org/wiki/Kenyan_identity_card)	Eight-digit unique serial number issued by the National Registration Bureau to every Kenyan citizen from the age of 18. The companion Huduma Namba — a parallel ten-digit identifier introduced under 2019 amendments — was launched as a unified register but its rollout has been suspended since the 2021 High Court ruling.	Kenyan National ID Card (Kitambulisho) issued by the National Registration Bureau under the Ministry of Interior, the eCitizen portal, and the suspended Huduma Namba registration card.
kuwait-raqam-madani	kuwait-civil-id-number	الكويت	Kuwait	KW	الرقم المدني (Raqam Madanī)	Civil ID Number	[Identity document — Kuwait](https://en.wikipedia.org/wiki/Identity_document#Kuwait)	Twelve digits in the form CYYMMDDSSSSC: a leading century digit (2 = 1900–1999, 3 = 2000+), six-digit date of birth, four-digit serial, and a final check digit. Issued by the Public Authority for Civil Information (PACI).	Kuwait Civil ID (البطاقة المدنية), the Kuwait Mobile ID app, and the SAHEL e-government app.
latvija-personas-kods	latvia-personal-code	Latvija	Latvia	LV	Personas kods	Personal Code	[National identification number — Latvia](https://en.wikipedia.org/wiki/National_identification_number#Latvia)	Eleven digits in the form DDMMYY-CZZZZ: the first six are the date of birth, C is the century sign (0 for 19th century, 1 for 20th, 2 for 21st), ZZZZ is a serial number, and the last digit is a check digit.	Latvian eID card, passport, driving licence, and the official Latvija.lv portal.
letzebuerg-matricule-national	luxembourg-national-identification-number	Lëtzebuerg	Luxembourg	LU	Matricule National (numéro d'identification national) / Nationale Identifikationsnummer	National Identification Number	[National identification number — Luxembourg](https://en.wikipedia.org/wiki/National_identification_number#Luxembourg)	Thirteen digits in the form YYYYMMDDSSSCC: eight-digit date of birth, three-digit serial, and two check digits (the first computed with the Luhn algorithm, the second with the Verhoeff algorithm).	Luxembourg national identity card (Carte d'identité), social-security card (Carte de sécurité sociale), passport, and the MyGuichet.lu portal.
liechtenstein-national-identity-card-number	liechtenstein-national-identity-card-number	Liechtenstein	Liechtenstein	LI	Identitätskarten-Nummer	National Identity Card Number	[National identity card](https://en.wikipedia.org/wiki/National_identity_card)	Combination of 2 letters and 8 numbers, for example ID022143586. The number is regenerated on each renewal of the identity card.	Liechtenstein national identity card (Identitätskarte) issued by the Office of Civil Affairs (Amt für Zivilstandswesen).
liechtenstein-passport-number	liechtenstein-passport-number	Liechtenstein	Liechtenstein	LI	Reisepass-Nummer	National Passport Number	[Liechtenstein passport](https://en.wikipedia.org/wiki/Liechtenstein_passport)	Combination of 1 letter and 5 numbers, for example R00536.	Liechtenstein passport (Reisepass) issued by the Office of Civil Affairs.
lietuva-asmens-kodas	lithuania-personal-code	Lietuva	Lithuania	LT	Asmens kodas (AK)	Personal Code	[National identification number — Lithuania](https://en.wikipedia.org/wiki/National_identification_number#Lithuania)	Eleven digits in the form GYYMMDDNNNC: G encodes sex and century of birth (3/5 for men born in the 20th/21st century, 4/6 for women born in the 20th/21st century); YYMMDD is the date of birth; NNN is a serial number; and C is a Modulus-11 check digit.	Lithuanian ID card (Asmens tapatybės kortelė), passport, driving licence, residence permit, and most government correspondence.
lietuva-pasas	lithuania-passport-number	Lietuva	Lithuania	LT	Pasas	Lithuanian Passport Number	[Lithuanian passport](https://en.wikipedia.org/wiki/Lithuanian_passport)	Eight-digit passport-document number printed on the Lithuanian passport (the same document number form is also used on the national ID card).	Lithuanian passport (Pasas) and national ID card issued by the Migration Department.
lubnan-raqam-sijill	lebanon-civil-registry-number	لبنان	Lebanon	LB	رقم السجل (Raqam as-Sijill)	Civil Registry Number	[Identity document — Lebanon](https://en.wikipedia.org/wiki/Identity_document#Lebanon)	Composite identifier issued by the General Directorate of Personal Status (Mudīriyyat al-Aḥwāl ash-Shakhṣiyya) within the Ministry of Interior; quotes a place of registration (“matn as-sijill” — typically a village or town civil register) and a serial / page number within that local register.	Lebanese ikhrāj al-qaid (family extract / civil-status extract), Hawiyya identity card, and biometric passport.
magyarorszag-szemelyi-azonosito-jel	hungary-personal-identification-number	Magyarország	Hungary	HU	Személyi azonosító jel (személyi szám)	Personal Identification Number	[National identification number — Hungary](https://en.wikipedia.org/wiki/National_identification_number#Hungary)	Eleven digits in the form X-YYMMDD-ZZZC: X encodes century and sex (1 male / 2 female born 1900–1999; 3 male / 4 female born 1800–1899; 5 male / 6 female born 2000–2099); YYMMDD is the date of birth; ZZZ is a serial number; and C is a weighted Modulus-11 check digit. Because of constitutional privacy rules the personal identification number is stored separately from the eID and is generally not printed on the card.	Issued by the Belügyminisztérium; appears on the official hatósági bizonyítvány a személyazonosító jelről (personal-identification-number certificate), the historical address card (lakcímkártya), the social-security TAJ card, and government records.
malaysia-mykad	malaysia-national-identity-card	Malaysia	Malaysia	MY	Nombor Kad Pengenalan / MyKad	National Identity Card Number (MyKad)	[Malaysian identity card](https://en.wikipedia.org/wiki/Malaysian_identity_card)	Twelve digits in the format YYMMDD-PB-###G: YYMMDD is the date of birth; PB is the place-of-birth code (states 01–16 for those born in Malaysia, or country codes 60–85 for those born abroad); ### is a serial; and G is a sex digit (odd male, even female).	MyKad smart card issued by the National Registration Department (Jabatan Pendaftaran Negara, JPN), MyDigital ID app, driving licence, passport.
malta-national-identification-number	malta-national-identification-number	Malta	Malta	MT	Numru tal-Identità	National Identification Number	[National identification number — Malta](https://en.wikipedia.org/wiki/National_identification_number#Malta)	Eight characters: seven digits and a trailing letter (M, G, A, P, L, H, B, or Z). The letter encodes the geographic origin and registration context: A foreigner with eRes Card; B Maltese births registered in the 1800s; G Gozitan births registered in the 1900s; H Gozitan births registered in the 2000s; L Maltese births registered in the 2000s; M Maltese births registered in the 1900s; P Maltese citizens registered without an original birth certificate from their country of birth; Z Gozitan births registered in the 1800s.	Maltese national identity card (Karta tal-Identità) issued by Identity Malta.
malta-passport-number	malta-passport-number	Malta	Malta	MT	Numru tal-Passaport	National Passport Number	[Maltese passport](https://en.wikipedia.org/wiki/Maltese_passport)	Seven numerical digits, issued by Identity Malta (formerly the Civil Registration Directorate).	Maltese passport (Passaport) issued by Identity Malta.
maroc-carte-nationale-d-identite-electronique	morocco-national-electronic-identity-card	Le Maroc / المغرب	Morocco	MA	Carte Nationale d'Identité Électronique (CNIE) / البطاقة الوطنية للتعريف الإلكترونية	National Electronic Identity Card Number	[Moroccan national identity card](https://en.wikipedia.org/wiki/Moroccan_national_identity_card)	Identity-card number consisting of one or two prefix letters (encoding the province of issuance) followed by six or seven digits — for example G123456 or AB123456. Issued by the Direction Générale de la Sûreté Nationale (DGSN).	Moroccan electronic National Identity Card (CNIE) issued by the General Directorate of National Security; required for civil, electoral, banking, and administrative procedures.
mexico-clave-unica-de-registro-de-poblacion	mexico-unique-population-registry-code	México	Mexico	MX	Clave Única de Registro de Población (CURP)	Unique Population Registry Code (CURP)	[Unique Population Registry Code](https://en.wikipedia.org/wiki/Unique_Population_Registry_Code)	Eighteen characters: four letters drawn from the holder's first surname, second surname, and given name; six digits for date of birth (YYMMDD); one letter for sex (H male, M female); two letters for the federative entity of birth (or NE if born abroad); three consonants taken from inside the surnames and given name; one alphanumeric “homonym” character (a letter for births before 2000, a digit thereafter); and a final check digit computed modulo 10.	CURP printout from gob.mx, INE/IFE voter ID card, Mexican passport, the acta de nacimiento (birth certificate), and the RFC tax record which incorporates the CURP.
misr-raqam-qawmi	egypt-national-identification-number	مصر	Egypt	EG	الرقم القومي (Raqam Qawmī)	National Identification Number	[Egyptian National Identity Card](https://en.wikipedia.org/wiki/Egyptian_National_Identity_Card)	Fourteen digits in the form C-YYMMDD-GG-SSSS-S: C encodes the century (2 for the 20th century, 3 for the 21st); YYMMDD is the date of birth; GG is the governorate of birth (88 indicates born abroad); SSSS is a serial in which the penultimate digit encodes sex (odd male, even female); and the final digit is a check digit.	Egyptian National Identity Card (بطاقة الرقم القومي) issued by the Civil Status Sector of the Ministry of Interior; mandatory for adult citizens since 2008.
moldova-numarul-de-identificare-de-stat	moldova-state-identification-number	Moldova	Moldova	MD	Numărul de Identificare de Stat (IDNP)	State Identification Number (IDNP)	[National identification number — Moldova](https://en.wikipedia.org/wiki/National_identification_number#Moldova)	Thirteen digits assigned by the Public Services Agency (Agenția Servicii Publice) and recorded in the State Register of Population. The leading digit identifies the entity class (0 for natural persons, 1 for legal entities), followed by serial digits and a final check digit.	Moldovan ID card (buletin de identitate), passport, driving licence, and the MPass / MSign e-government services.
mongol-uls-irgenii-burgedlin-dugaar	mongolia-citizen-registration-number	Монгол Улс	Mongolia	MN	Иргэний бүртгэлийн дугаар (РД)	Citizen Registration Number (РД)	[National identification number — Mongolia](https://en.wikipedia.org/wiki/National_identification_number#Mongolia)	Ten characters in the form LL-YYMMDD-NNN-C: two Cyrillic letters encoding the aimag or city of registration (e.g. ОЛ for Ulaanbaatar); six digits for date of birth (YYMMDD); a three-digit serial whose parity encodes sex (odd male, even female); and a final check digit.	Mongolian Citizen Identity Card (Иргэний үнэмлэх) issued by the General Authority for State Registration.
myanmar-naingngantha-hmat-pon-tin	myanmar-national-registration-card	မြန်မာ	Myanmar	MM	နိုင်ငံသား မှတ်ပုံတင် (Naingngantha Hmat Pon Tin)	National Registration Card (NRC)	[Myanmar identity card](https://en.wikipedia.org/wiki/Myanmar_identity_card)	Composite identifier in the form RR/TTT(C)NNNNNN: RR is a two-digit regional code; TTT is a township abbreviation in Burmese script; (C) is a one-letter citizenship status indicator in parentheses (N full citizen, E associate citizen, T naturalised citizen, A foreign resident); and NNNNNN is a six-digit serial.	National Registration Card (NRC) — also called the Citizenship Scrutiny Card (CSC) — issued by the General Administration Department of the Ministry of Home Affairs.
nederland-burgerservice-nummer	netherlands-citizen-service-number	Nederland	Netherlands	NL	Burgerservicenummer (BSN)	Citizen Service Number	[Burgerservicenummer](https://en.wikipedia.org/wiki/Burgerservicenummer)	Nine-digit citizen service number issued through the Personal Records Database (Basisregistratie Personen, BRP); introduced in 2007, validated with a variant of the eleven-test (Luhn-style) algorithm, and required for all dealings with the Dutch government.	Dutch passport, identity card (Nederlandse identiteitskaart), driving licence, payslips, tax correspondence, and the DigiD-protected MijnOverheid portal.
nederland-identiteitskaart-nummer	netherlands-national-identity-card-number	Nederland	Netherlands	NL	Identiteitskaart-nummer	National Identity Card Number	[Dutch identity card](https://en.wikipedia.org/wiki/Dutch_identity_card)	Nine characters: positions 1 and 2 are uppercase letters [A-Z] except O; positions 3–8 are alphanumeric [A-Z][0-9] except the letter O; position 9 is a digit [0-9]. The character O is disallowed (to avoid confusion with 0), but the digit 0 is allowed.	Dutch national identity card (Nederlandse identiteitskaart), printed on the front of the card and in the machine-readable zone.
nederland-paspoort-nummer	netherlands-passport-number	Nederland	Netherlands	NL	Paspoortnummer	Passport Number	[Dutch passport](https://en.wikipedia.org/wiki/Dutch_passport)	Nine characters: positions 1 and 2 are uppercase letters [A-Z] except O; positions 3–8 are alphanumeric [A-Z][0-9] except O; position 9 is a digit [0-9].	Dutch passport (Nederlands paspoort), printed on the data page and in the machine-readable zone.
nepal-rastriya-parichaya-patra	nepal-national-identity-card	नेपाल	Nepal	NP	राष्ट्रिय परिचय-पत्र (Rāṣṭriya Parichaya-patra)	National Identity Card	[National Identity Card (Nepal)](https://en.wikipedia.org/wiki/National_Identity_Card_(Nepal))	Ten- or eleven-digit National Identity Number issued by the Department of National ID and Civil Registration under the 2019 National Identity Card Programme; linked to biometric data (fingerprints, iris, photograph). The smart card is gradually replacing the older Nāgariktā (citizenship certificate).	Smart National Identity Card (Rāṣṭriya Parichaya-patra) issued by the Department of National ID and Civil Registration of the Ministry of Home Affairs.
nigeria-national-identification-number	nigeria-national-identification-number	Nigeria	Nigeria	NG	National Identification Number (NIN)	National Identification Number (NIN)	[National Identification Number (Nigeria)](https://en.wikipedia.org/wiki/National_Identification_Number_(Nigeria))	Eleven-digit number randomly assigned by the National Identity Management Commission (NIMC) under the 2007 NIMC Act and linked to ten biometric fingerprints, a facial photograph, and demographic data; used as the unique citizen and resident identifier.	NIN slip, National e-ID card, and the NIMC Mobile ID app; required for SIM-card registration, banking (BVN), passports, and the JAMB examination.
nihon-kojin-bango	japan-individual-number	日本	Japan	JP	個人番号 (Kojin Bangō) / マイナンバー (My Number)	Individual Number (My Number)	[Individual Number](https://en.wikipedia.org/wiki/Individual_Number)	Twelve-digit number assigned to each resident under the 2015 Social Security and Tax Number System (Act on the Use of Numbers to Identify a Specific Individual), with a final check digit computed via weighted multiplication and Modulus-11. The number is permanent and carried for a person's lifetime.	My Number Card (マイナンバーカード) issued by municipal governments, the older Notification Card (通知カード), and tax / employment / pension paperwork.
norge-fodselsnummer	norway-birth-number	Norge	Norway	NO	Fødselsnummer	Birth Number / 11-digit Personal ID	[National identification number — Norway](https://en.wikipedia.org/wiki/National_identification_number#Norway)	Eleven digits where the first six are the date of birth (DDMMYY) and the next three are a personal/serial number — odd for males, even for females. The final two digits are check digits computed using a weighted Modulus-11.	Norwegian passport, national ID card, driving licence, bank cards, payslips, and the Altinn government portal.
northern-ireland-health-and-care-number	northern-ireland-health-and-care-number	Northern Ireland / Tuaisceart Éireann	Northern Ireland	GB-NIR	Health and Care (H&C) Number	Health and Care (H&C) Number	[Health and Social Care (Northern Ireland)](https://en.wikipedia.org/wiki/Health_and_Social_Care_(Northern_Ireland))	Ten-digit identifier in the same 3-3-4 format as the NHS number, drawn from a reserved range (320 000 001 to 399 999 999) and used across Health and Social Care Northern Ireland (HSCNI).	HSCNI medical card, GP correspondence, hospital appointment letters, and prescriptions across Northern Ireland.
oman-bitaqat-shakhsiyyah	oman-civil-id-number	عمان	Oman	OM	بطاقة الهوية / الرقم المدني (Raqm Madanī)	Civil Identity Card Number	[Identity document — Oman](https://en.wikipedia.org/wiki/Identity_document#Oman)	Eight-digit civil number issued by the Royal Oman Police Directorate General of Civil Status; printed on the smart Resident Card together with a separate card serial number.	Omani Resident Card (بطاقة الهوية) — Resident Card for non-Omanis — required for banking, employment, and government services.
osterreich-sozialversicherungsnummer	austria-social-security-number	Österreich	Austria	AT	Sozialversicherungsnummer (SVNR)	Social Security Number (SVNR)	[National identification number — Austria](https://en.wikipedia.org/wiki/National_identification_number#Austria)	Ten digits in the form AAACDDMMYY: AAA is a three-digit serial number assigned by the social insurance carrier; C is a check digit computed with weights 3,7,9,5,8,4,2,1,6 modulo 11 (a remainder of 10 yields a fresh AAA); and DDMMYY is the date of birth.	Austrian e-card (electronic health-insurance card), payslips, tax forms, FinanzOnline, and pension correspondence.
pakistan-shanakhti-card	pakistan-computerised-national-identity-card	پاکستان	Pakistan	PK	قومی شناختی کارڈ (Shanakhti Card)	Computerised National Identity Card (CNIC) Number	[Computerised National Identity Card](https://en.wikipedia.org/wiki/Computerised_National_Identity_Card)	Thirteen digits in the format AAAAA-BBBBBBB-G: the first five digits encode province / division / district / tehsil of permanent address, the next seven are a family / individual serial within that registration unit, and the final digit is a gender digit (odd male, even female).	CNIC plastic card or Smart NIC issued by the National Database and Registration Authority (NADRA), Pak-Identity online portal, passport, and SIM-card registration.
panama-cedula-de-identidad-personal	panama-personal-identity-card	Panamá	Panama	PA	Cédula de Identidad Personal	Personal Identity Card	[Cédula de identidad](https://es.wikipedia.org/wiki/C%C3%A9dula_de_identidad#Panam%C3%A1)	Format Province-Tomo-Asiento: a province / origin prefix (1–13 for Panamanian provinces and indigenous comarcas; PE for born in Panamá Este; E for naturalised foreigners; N for children of foreigners born in Panama) followed by “tomo” (volume) and “asiento” (registry entry) numbers — for example 8-123-456.	Cédula de Identidad Personal issued by the Tribunal Electoral; voter rolls; banking and tax records.
paraguay-cedula-de-identidad	paraguay-identity-card	Paraguay / Tetã Paraguái	Paraguay	PY	Cédula de Identidad Civil (CIC)	Identity Card	[Identity document — Paraguay](https://en.wikipedia.org/wiki/Identity_document#Paraguay)	Up to seven-digit serial number assigned by the Departamento de Identificaciones of the Policía Nacional and held for life; the same number underlies the Registro Único de Contribuyentes (RUC) tax identifier, extended with a verification digit.	Cédula de Identidad Civil issued by the Policía Nacional, voter rolls (TSJE), and SET tax records.
peru-documento-nacional-de-identidad	peru-national-identity-document	Perú	Peru	PE	Documento Nacional de Identidad (DNI)	National Identity Document (DNI)	[Documento Nacional de Identidad (Peru)](https://en.wikipedia.org/wiki/Documento_Nacional_de_Identidad_(Peru))	Eight-digit number issued by the Registro Nacional de Identificación y Estado Civil (RENIEC), with an additional verification digit printed alongside it; the same DNI is used by minors (DNI azul) and adults (DNI electrónico / DNIe) and underlies the universal voter roll.	DNI card or DNI electrónico (DNIe) issued by RENIEC, passport, and the ID Perú digital identity app.
pilipinas-philsys-number	philippines-philippine-identification-system-number	Pilipinas	Philippines	PH	PhilSys Number (PSN)	Philippine Identification System (PhilSys) Number	[Philippine Identification System](https://en.wikipedia.org/wiki/Philippine_Identification_System)	Twelve-digit, randomly generated, permanent number issued by the Philippine Statistics Authority (PSA) under the 2018 Philippine Identification System Act (RA 11055). The plastic PhilID and ePhilID carry a derived sixteen-digit PhilSys Card Number (PCN) so the underlying PSN can be revoked and re-issued if compromised.	PhilID physical card, ePhilID printout, and the PhilSys digital national ID app.
polska-numer-identyfikacji-podatkowej	poland-tax-identification-number	Polska	Poland	PL	Numer Identyfikacji Podatkowej (NIP)	Tax Identification Number (NIP)	[National identification number — Poland](https://en.wikipedia.org/wiki/National_identification_number#Poland)	Ten numeric digits with a Modulus-11 weighted check digit, used by investment firms and the tax administration to identify a person or organisation for tax purposes.	NIP confirmation document, tax forms (PIT, including the PIT-8 issued by investment firms), invoices, and contracts.
polska-pesel	poland-national-identification-number	Polska	Poland	PL	PESEL (Powszechny Elektroniczny System Ewidencji Ludności)	National Identification Number	[PESEL](https://en.wikipedia.org/wiki/PESEL)	Eleven numeric digits in the form YYMMDDSSSSC: the date of birth (with month offset +20 for the 2000s, +40 for the 2100s, +60 for the 2200s, −20 for the 1800s), four serial digits (the penultimate digit encodes sex — odd male, even female), and a weighted Modulus-10 check digit. The PESEL is assigned shortly after birth and is permanent.	Polish ID card (dowód osobisty), passport, driving licence, birth certificate, and the obywatel.gov.pl portal.
portugal-numero-de-identificacao-fiscal	portugal-tax-identification-number	Portugal	Portugal	PT	Número de Identificação Fiscal (NIF)	Tax Identification Number (NIF)	[Personal identification number (Portugal)](https://en.wikipedia.org/wiki/Personal_identification_number_(Portugal))	Nine digits, the first eight sequential and the ninth a check digit. The leading digit encodes the entity type: 1–3 individuals; 45 non-residents earning Portuguese income subject to withholding; 5 resident legal entities; 6 public administration; 70/74/75 indivisible estates; 71 non-resident entities subject to definitive withholding; 72 investment funds; 77 NIFs allocated by the tax authority; 78 non-residents in the VAT refund scheme; 79 special cases; 8 sole traders (legacy); 90/91 condominiums, irregular societies, undivided inheritances; 98 non-residents without permanent establishment; 99 civil societies without legal personality.	Portuguese Cartão de Cidadão (which carries the NIF alongside the civil identification number), tax invoices, employer/contract documents, and the Portal das Finanças.
portugal-passaporte	portugal-passport	Portugal	Portugal	PT	Passaporte	Passport Number	[Portuguese passport](https://en.wikipedia.org/wiki/Portuguese_passport)	Uniform optical-model passport identified by one letter and six digits — position 1 is a letter [A-Z] and positions 2–6 are digits [0-9].	Portuguese passport, printed on the data page and in the machine-readable zone.
qatar-raqam-shakhsi	qatar-personal-identification-number	قطر	Qatar	QA	الرقم الشخصي (Raqm Shakhṣī) / Qatari ID (QID)	Personal Identification Number (QID)	[Identity document — Qatar](https://en.wikipedia.org/wiki/Identity_document#Qatar)	Eleven-digit Qatari ID (QID): a leading century-of-birth digit (2 = 1900–1999, 3 = 2000+), two digits for year of birth, three digits for the ISO-style country-of-nationality code (634 for Qatar), and a five-digit serial.	Qatari ID (QID) card issued by the Ministry of Interior General Directorate of Passports, Hukoomi (e-government portal), and the Metrash2 app.
republica-dominicana-cedula-de-identidad-y-electoral	dominican-republic-identity-and-electoral-card	República Dominicana	Dominican Republic	DO	Cédula de Identidad y Electoral	Identity and Electoral Card	[Cédula de Identidad y Electoral](https://es.wikipedia.org/wiki/C%C3%A9dula_de_identidad_y_electoral)	Eleven digits in the form XXX-NNNNNNN-X: a three-digit municipal / district code assigned by the Junta Central Electoral, a seven-digit serial, and a Luhn check digit.	Cédula de Identidad y Electoral issued by the Junta Central Electoral (JCE), used as both the civil identity document and the voter registration.
romania-cod-numeric-personal	romania-personal-numerical-code	România	Romania	RO	Cod Numeric Personal (CNP)	Personal Numerical Code	[National identification number — Romania](https://en.wikipedia.org/wiki/National_identification_number#Romania)	Thirteen digits: a leading sex/century digit (1 male 1900–1999, 2 female 1900–1999, 3 male 1800–1899, 4 female 1800–1899, 5 male 2000+, 6 female 2000+, 7 male resident, 8 female resident, 9 foreign citizen); date of birth (YYMMDD); two-digit county code (01–52, or 99 for non-Romanians, or 4 followed by a Bucharest sector number); a three-digit serial number; and a check digit computed by weighted multiplication with the constant 279146358279 modulo 11 (remainder 10 maps to 1).	Romanian Birth Certificate, Identity Card (Carte de Identitate), and Driving Licence.
romania-pasaport	romania-passport	România	Romania	RO	Paşaport	Passport Number	[Romanian passport](https://en.wikipedia.org/wiki/Romanian_passport)	Eight characters: positions 1 and 2 are letters [A-Z] and positions 3–8 are digits [0-9].	Romanian passport (Paşaport), printed on the data page.
rossiya-snils	russia-personal-insurance-account-number	Россия	Russia	RU	Страховой номер индивидуального лицевого счёта (СНИЛС, SNILS)	Insurance Number of Individual Personal Account (SNILS)	[Insurance Number of Individual Personal Account](https://en.wikipedia.org/wiki/Insurance_Number_of_Individual_Personal_Account)	Eleven digits in the format XXX-XXX-XXX YY: nine digits identify the account holder and the last two digits are a checksum computed with weights 9,8,…,1 (sum modulo 101; results of 100 or 101 map to 00).	Green SNILS card (zelyonaya kartochka) issued by the Pension Fund of Russia (since 2019, by the Social Fund), payslips, pension statements, and the Gosuslugi portal; the companion ИНН (INN) tax number is twelve digits for individuals.
sakartvelo-piradi-nomeri	georgia-personal-number	საქართველო	Georgia	GE	პირადი ნომერი (Piradi nomeri)	Personal Number	[National identification number — Georgia](https://en.wikipedia.org/wiki/National_identification_number#Georgia)	Eleven-digit unique personal identifier assigned by the Public Service Development Agency (PSDA) and used in every government register; the first two digits encode the issuing region (district code) and the remaining digits include a serial and a check digit.	Georgian biometric ID card (პირადობის მოწმობა) and passport issued by the Public Service Development Agency; the my.gov.ge portal.
saudi-arabia-raqam-al-huwiyyah-al-wataniyyah	saudi-arabia-national-identification-number	المملكة العربية السعودية	Saudi Arabia	SA	رقم الهوية الوطنية	National Identification Number	[Saudi Arabian identity card](https://en.wikipedia.org/wiki/Saudi_Arabian_identity_card)	Ten digits beginning with 1 for Saudi citizens or 2 for foreign residents (the Iqama number), followed by eight serial digits and a final Luhn-style check digit; issued and managed by the General Directorate of Civil Status (Ahwal Madaniyyah) under the Ministry of Interior.	National Identity Card (بطاقة الهوية الوطنية) or Iqama (إقامة) residency permit, and the Absher and Tawakkalna government apps.
schweiz-ahv-nummer	switzerland-old-age-and-survivors-insurance-number	Schweiz / Suisse / Svizzera / Svizra	Switzerland	CH	AHV-Nummer / Numéro AVS / Numero AVS / Numer AVS	Old-Age and Survivors' Insurance (AHV/AVS) Number	[Sozialversicherungsnummer](https://en.wikipedia.org/wiki/Sozialversicherungsnummer)	Thirteen digits in the form 756.XXXX.XXXX.XC: 756 is the ISO 3166-1 numeric code for Switzerland, followed by nine random digits, with a final EAN-13 (Modulus-10) check digit. Issued by the Central Compensation Office (CCO / ZAS) and reused since 2008 as a general administrative identifier in addition to the social-insurance role.	AHV/AVS insurance card, electronic health-insurance card, tax records, pension correspondence, and the SwissID e-government portal.
severna-makedonija-edinstven-maticen-broj-na-gragjaninot	north-macedonia-unique-master-citizen-number	Северна Македонија / Severna Makedonija	North Macedonia	MK	Единствен матичен број на граѓанинот (ЕМБГ) / Edinstven matičen broj na graǵaninot (EMBG)	Unique Master Citizen Number (EMBG)	[Unique Master Citizen Number](https://en.wikipedia.org/wiki/Unique_Master_Citizen_Number)	Thirteen-digit identifier in the Yugoslav-successor JMBG family with two-digit registry / region codes 40–49 for North Macedonia (e.g. 41 Bitola, 42 Kumanovo, 43 Ohrid, 44 Prilep, 45 Skopje, 46 Strumica, 47 Tetovo, 48 Veles, 49 Štip). Format: DDMMYYY-RR-GGGC with a weighted Modulus-11 check digit.	Macedonian Personal ID card (Лична карта) and passport issued by the Ministry of Internal Affairs.
singapore-national-registration-identity-card	singapore-national-registration-identity-card	Singapore / Singapura / 新加坡 / சிங்கப்பூர்	Singapore	SG	National Registration Identity Card (NRIC) Number	National Registration Identity Card (NRIC) Number	[National Registration Identity Card](https://en.wikipedia.org/wiki/National_Registration_Identity_Card)	One prefix letter (S or T for citizens / PRs depending on year of issuance; F or G for foreigners on long-term passes depending on year; M for foreigners issued from 1 January 2022), seven digits, and a checksum letter. S/F use weights 2,7,6,5,4,3,2 on the seven digits and look up the result in fixed alphabets; T/G use the same with a +4 offset on the sum; M uses a different reversed alphabet.	NRIC / Identity Card (pink for citizens, blue for PRs) issued by the Immigration and Checkpoints Authority (ICA), Long-Term Pass card, and the Singpass digital ID app.
slovenija-enotna-matična-stevilka-občana	slovenia-unique-master-citizen-number	Slovenija	Slovenia	SI	Enotna Matična Številka Občana (EMŠO)	Unique Master Citizen Number (EMŠO)	[Unique Master Citizen Number](https://en.wikipedia.org/wiki/Unique_Master_Citizen_Number)	Thirteen digits in the form DDMMYYY-RR-GGGC: seven-digit date of birth (last three digits of the year), a two-digit registry/republic code (50/59 for Slovenia after 18 February 1999, with 10–19 Bosnia and Herzegovina, 20–29 Montenegro, 30–39 Croatia, 40–49 Macedonia, 70–79 Serbia, 80–89 Autonomous Province of Vojvodina, 90–99 Kosovo for pre-1999 issuance), three digits combining sex and serial number (000–499 male, 500–999 female), and a weighted Modulus-11 check digit defined in Article 4 of the Regulation on the way of assigning the personal identification number.	Slovenian Personal Identity Card (Osebna izkaznica), passport, birth certificate, and tax records.
slovensko-cestovny-pas	slovakia-passport-number	Slovensko	Slovakia	SK	Cestovný pas	Passport Number	[Slovak passport](https://en.wikipedia.org/wiki/Slovak_passport)	Nine characters in the format XXNNNNNNN — two block letters followed by seven digits — with a ten-year validity.	Slovak passport (Cestovný pas); citizens who hold two passports simultaneously will only find the document number on the first one.
